wave	flux	eflux
3.25878695e+03	4.56291500e-14	4.56291500e-15
3.25939790e+03	4.47660300e-14	4.47660300e-15
3.26000886e+03	4.62431400e-14	4.62431400e-15
3.26061981e+03	4.67604400e-14	4.67604400e-15
3.26123076e+03	4.71539900e-14	4.71539900e-15
3.26184171e+03	4.76070800e-14	4.76070800e-15
3.26245266e+03	4.67837900e-14	4.67837900e-15
3.26306361e+03	4.42770900e-14	4.42770900e-15
3.26367456e+03	4.54299500e-14	4.54299500e-15
3.26428551e+03	4.49789000e-14	4.49789000e-15
3.26489646e+03	4.50289800e-14	4.50289800e-15
3.26550741e+03	4.56786100e-14	4.56786100e-15
3.26611836e+03	4.69994200e-14	4.69994200e-15
3.26672931e+03	4.81592900e-14	4.81592900e-15
3.26734026e+03	5.05997800e-14	5.05997800e-15
3.26795122e+03	5.05141000e-14	5.05141000e-15
3.26856217e+03	4.56538500e-14	4.56538500e-15
3.26917312e+03	4.80425100e-14	4.80425100e-15
3.26978407e+03	4.80285100e-14	4.80285100e-15
3.27039502e+03	4.52607900e-14	4.52607900e-15
3.27100597e+03	4.30457800e-14	4.30457800e-15
3.27161692e+03	4.44536100e-14	4.44536100e-15
3.27222787e+03	4.52628400e-14	4.52628400e-15
3.27283882e+03	4.37350100e-14	4.37350100e-15
3.27344977e+03	4.51897000e-14	4.51897000e-15
3.27406072e+03	4.55775800e-14	4.55775800e-15
3.27467167e+03	4.63768100e-14	4.63768100e-15
3.27528263e+03	4.42180600e-14	4.42180600e-15
3.27589358e+03	4.27848500e-14	4.27848500e-15
3.27650453e+03	4.27836000e-14	4.27836000e-15
3.27711548e+03	4.55938700e-14	4.55938700e-15
3.27772643e+03	4.41201400e-14	4.41201400e-15
3.27833738e+03	4.61089900e-14	4.61089900e-15
3.27894833e+03	4.56118100e-14	4.56118100e-15
3.27955928e+03	4.58143700e-14	4.58143700e-15
3.28017023e+03	4.39407000e-14	4.39407000e-15
3.28078118e+03	4.27711000e-14	4.27711000e-15
3.28139213e+03	4.37247200e-14	4.37247200e-15
3.28200308e+03	4.36318200e-14	4.36318200e-15
3.28261404e+03	4.51077600e-14	4.51077600e-15
3.28322499e+03	4.31393100e-14	4.31393100e-15
3.28383594e+03	4.17230000e-14	4.17230000e-15
3.28444689e+03	4.25180900e-14	4.25180900e-15
3.28505784e+03	4.51213500e-14	4.51213500e-15
3.28566879e+03	4.54395600e-14	4.54395600e-15
3.28627974e+03	4.33224800e-14	4.33224800e-15
3.28689069e+03	4.25474300e-14	4.25474300e-15
3.28750164e+03	4.41850000e-14	4.41850000e-15
3.28811259e+03	4.58393500e-14	4.58393500e-15
3.28872354e+03	4.46043300e-14	4.46043300e-15
3.28933449e+03	4.48512000e-14	4.48512000e-15
3.28994545e+03	4.52512700e-14	4.52512700e-15
3.29055640e+03	4.44663400e-14	4.44663400e-15
