wave	flux	eflux
3.43364836e+03	1.34651800e-15	1.34651800e-16
3.43424931e+03	1.38011800e-15	1.38011800e-16
3.43485026e+03	1.41520600e-15	1.41520600e-16
3.43545121e+03	1.40143500e-15	1.40143500e-16
3.43605215e+03	1.59175600e-15	1.59175600e-16
3.43665310e+03	1.12234000e-15	1.12234000e-16
3.43725405e+03	1.09282400e-15	1.09282400e-16
3.43785499e+03	8.94065800e-16	8.94065800e-17
3.43845594e+03	1.13471000e-15	1.13471000e-16
3.43905689e+03	1.19153100e-15	1.19153100e-16
3.43965783e+03	1.42773900e-15	1.42773900e-16
3.44025878e+03	1.18598100e-15	1.18598100e-16
3.44085973e+03	1.25946100e-15	1.25946100e-16
3.44146068e+03	1.35056900e-15	1.35056900e-16
3.44206162e+03	1.14121700e-15	1.14121700e-16
3.44266257e+03	1.10383500e-15	1.10383500e-16
3.44326352e+03	1.40902900e-15	1.40902900e-16
3.44386446e+03	1.06627100e-15	1.06627100e-16
3.44446541e+03	1.13491700e-15	1.13491700e-16
3.44506636e+03	1.15381100e-15	1.15381100e-16
3.44566731e+03	1.16730600e-15	1.16730600e-16
3.44626825e+03	1.20074400e-15	1.20074400e-16
3.44686920e+03	1.01519700e-15	1.01519700e-16
3.44747015e+03	1.20320000e-15	1.20320000e-16
3.44807109e+03	1.16329400e-15	1.16329400e-16
3.44867204e+03	1.15231900e-15	1.15231900e-16
3.44927299e+03	1.10831700e-15	1.10831700e-16
3.44987394e+03	1.01047300e-15	1.01047300e-16
3.45047488e+03	1.23864200e-15	1.23864200e-16
3.45107583e+03	1.22561100e-15	1.22561100e-16
3.45167678e+03	8.94217900e-16	8.94217900e-17
3.45227772e+03	8.75300300e-16	8.75300300e-17
3.45287867e+03	9.79006600e-16	9.79006600e-17
3.45347962e+03	1.15481400e-15	1.15481400e-16
3.45408056e+03	1.30956200e-15	1.30956200e-16
3.45468151e+03	1.45956600e-15	1.45956600e-16
3.45528246e+03	1.59980100e-15	1.59980100e-16
3.45588341e+03	1.37650700e-15	1.37650700e-16
3.45648435e+03	1.20200100e-15	1.20200100e-16
3.45708530e+03	1.56286200e-15	1.56286200e-16
3.45768625e+03	1.06445500e-15	1.06445500e-16
3.45828719e+03	1.25076000e-15	1.25076000e-16
3.45888814e+03	1.36853200e-15	1.36853200e-16
3.45948909e+03	1.22373000e-15	1.22373000e-16
3.46009004e+03	1.49720700e-15	1.49720700e-16
3.46069098e+03	1.19617900e-15	1.19617900e-16
3.46129193e+03	1.43708300e-15	1.43708300e-16
3.46189288e+03	1.65955900e-15	1.65955900e-16
3.46249382e+03	1.16103000e-15	1.16103000e-16
3.46309477e+03	9.84059600e-16	9.84059600e-17
3.46369572e+03	1.08882900e-15	1.08882900e-16
3.46429667e+03	1.23934700e-15	1.23934700e-16
3.46489761e+03	1.20722300e-15	1.20722300e-16
3.46549856e+03	8.59463500e-16	8.59463500e-17
3.46609951e+03	1.08237300e-15	1.08237300e-16
3.46670045e+03	1.53149900e-15	1.53149900e-16
3.46730140e+03	1.33677100e-15	1.33677100e-16
3.46790235e+03	1.22658700e-15	1.22658700e-16
3.46850330e+03	9.59448700e-16	9.59448700e-17
3.46910424e+03	1.73675000e-15	1.73675000e-16
3.46970519e+03	1.28429600e-15	1.28429600e-16
3.47030614e+03	8.38859600e-16	8.38859600e-17
3.47090708e+03	1.18694900e-15	1.18694900e-16
3.47150803e+03	1.32009900e-15	1.32009900e-16
3.47210898e+03	1.17716600e-15	1.17716600e-16
3.47270992e+03	1.29235500e-15	1.29235500e-16
3.47331087e+03	1.45888600e-15	1.45888600e-16
3.47391182e+03	1.28333900e-15	1.28333900e-16
3.47451277e+03	1.15317800e-15	1.15317800e-16
3.47511371e+03	8.49422100e-16	8.49422100e-17
3.47571466e+03	1.18313900e-15	1.18313900e-16
3.47631561e+03	1.40547200e-15	1.40547200e-16
3.47691655e+03	1.33234500e-15	1.33234500e-16
3.47751750e+03	1.32110600e-15	1.32110600e-16
3.47811845e+03	9.79489100e-16	9.79489100e-17
3.47871940e+03	1.25649700e-15	1.25649700e-16
3.47932034e+03	1.49297500e-15	1.49297500e-16
